date,sma20_AAP,sma20_ACN,sma20_ADBE,sma20_AFL,sma20_ALB,sma20_ALK,sma20_AOS,sma20_ATVI,sma20_AYI,sma20_MMM,sma100_AAP,sma100_ACN,sma100_ADBE,sma100_AFL,sma100_ALB,sma100_ALK,sma100_AOS,sma100_ATVI,sma100_AYI,sma100_MMM,rsi_AAP,rsi_ACN,rsi_ADBE,rsi_AFL,rsi_ALB,rsi_ALK,rsi_AOS,rsi_ATVI,rsi_AYI,rsi_MMM,volume_AAP,volume_ACN,volume_ADBE,volume_AFL,volume_ALB,volume_ALK,volume_AOS,volume_ATVI,volume_AYI,volume_MMM,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,cap_AAP,cap_ACN,cap_ADBE,cap_AFL,cap_ALB,cap_ALK,cap_AOS,cap_ATVI,cap_AYI,cap_MMM,pe_AAP,pe_ACN,pe_ADBE,pe_AFL,pe_ALB,pe_ALK,pe_AOS,pe_ATVI,pe_AYI,pe_MMM
2017-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1804860680544388,0.2802256617966169,-0.15992198927352508,0.5610916933144958,-0.3112871615093722,0.34208193287544464,0.37993512144948205,-0.14902655366832973,0.017825885404660347,0.4897872106728409,-0.2826699363532171,-0.09440244977531463,0.18583455952577088,0.008683370076465054,0.0979237000275388,-0.19764563547829342,-0.08646659094363295,0.15358566035588378,0.009041087390876407,0.03825010338152843,0,0,0,0,0,0,0,0,0,0,1,-0.9946355857463575,0.3374308024879036,0.24594408917597677,-0.5873938018786304,-0.8938641291395942,-0.9819063365565617,-0.9467627283656443,-0.3882380907553845,-1.0,1.0,-0.6357690002269871,-0.2519891504718984,1.0,-0.9442114119269625,-0.7627048179972975,-1.0,-0.10083822606617077,0.5208102474736442,-0.43604930975598366,-0.3207431714188248
2017-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22337141483533896,0.13153209760184492,-0.19278014539984922,0.6205559146735644,-0.2660755850109271,0.34912679748641107,0.3440926210071136,-0.18364735985112857,0.024681917200368386,0.48202568127428647,-0.30512523473235564,-0.038266590410189184,-0.033428968132912816,-0.1396988760125883,-0.12068375301724929,-0.12455312103007274,-0.2582667387097724,0.10101540436538758,0.13904208794441206,-0.10833304804617756,0,0,0,0,0,0,0,0,0,0,1,-0.9953968338907984,0.3307802642964264,0.24516290530348073,-0.589071896685643,-0.8927568725305793,-0.9800297699366711,-0.9474767114962005,-0.3835504130230276,-1.0,1.0,-0.6476906788425417,-0.2627691197253006,1.0,-0.9543424288704062,-0.7656556958346308,-1.0,-0.11030886560608832,0.5335385108032036,-0.44061208284575093,-0.32593906603015643
2017-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3315314498208701,0.4163888252610901,-0.21213604110594586,0.768274415817857,-0.23248824910598032,0.3395532605719206,0.41992645038018084,-0.11307020492731157,0.22407056036614137,0.36655488238922995,-0.39836986628393556,0.00887190954191683,-0.06937345315061397,-0.03002878218532581,0.09722159622339453,-0.23338866895575533,-0.009059757274603345,0.016533302289838053,0.2524865900361423,0.051483680307745604,0,0,0,0,0,0,0,0,0,0,1,-0.9963595422645992,0.3611107245842584,0.24742133624740026,-0.5871213407953575,-0.8931105460241485,-0.983283337323176,-0.9493759014273216,-0.3702608647955675,-1.0,1.0,-0.6221687475919685,-0.24208138997538353,1.0,-0.9553894035971044,-0.7571287152254518,-1.0,-0.09024441828335894,0.5740218137905881,-0.39569346443452535,-0.3339225450735781
2017-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2973467695035803,0.36654450358201995,-0.19344736208142588,0.7451085389463292,-0.17854034836074528,0.33706878038304755,0.2283284970285242,-0.049542884320668,0.2515385059077736,0.3435462388065815,-0.18853804158450008,0.036897009809740006,0.04172896173390074,-0.11541425613497357,-0.10779418718280519,-0.29256807360876913,-0.12414224398165606,-0.1939002406606385,0.2109118996391453,-0.013673643000380662,0,0,0,0,0,0,0,0,0,0,1,-0.9970475057938425,0.35822758604282523,0.24626089342397384,-0.588384023625952,-0.8939861434881105,-0.9846973615042752,-0.9531698507179502,-0.3656326892597438,-1.0,1.0,-0.6190652870752984,-0.2420161743421918,1.0,-0.9532886284275301,-0.755001951976616,-1.0,-0.11531389454780794,0.5906787665602453,-0.3855627580717794,-0.3314370166570979
2017-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.44961556365270716,0.3648483953170625,-0.2799614178924521,0.7389580257329698,-0.27163402432863837,0.3364534378144942,0.040216483864467745,-0.006250910403617471,0.2567686051276177,0.13978152637952734,0.04622203308871158,0.11412405223160571,0.17607560345680964,-0.10299037927946415,-0.08269772928692681,0.04893059338674495,-0.12528933755143692,0.056441263790867315,-0.07145195632331088,0.17504380192046937,0,0,0,0,0,0,0,0,0,0,1,-0.9948444176798219,0.38857419678103966,0.2472793985755335,-0.5820150303777836,-0.8944115270264463,-0.9847650236470764,-0.953798022071598,-0.34342795161446504,-1.0,1.0,-0.5940115893075794,-0.21996550380406032,1.0,-0.9513698470582468,-0.7571853781733086,-1.0,-0.1111799841801755,0.6538774521354862,-0.3737512026545595,-0.33719614462941705
2017-12-13,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.41282005775963626,0.3921756983292852,-0.13637384857335388,0.6590332836962248,-0.23250566460809385,0.315603689561312,0.015257506405274235,-0.034704177656214696,0.115288220551379,0.27412103701450896,-0.2055712486572191,-0.04790823786346985,0.21042995129693987,-0.04258460903073704,-0.09881123976774864,-0.04861944196214124,-0.12588830363743198,-0.021908692321573456,0.4096313147074343,0.15059247732516398,0,0,0,0,0,0,0,0,0,0,1,-0.9910510158696554,0.36780106521112366,0.26849370029799813,-0.5847420829034629,-0.8917840851716076,-0.9819418214872817,-0.9501739620112739,-0.34538051393077474,-1.0,1.0,-0.6064840610978861,-0.2460920348959429,1.0,-0.9487130276749496,-0.7608590918243308,-1.0,-0.13724887794633978,0.6106255364647841,-0.433741893386284,-0.34084286079924186
2017-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.3313183956311937,0.33520695436440795,-0.21125502456453726,0.6527142971694352,-0.4063882973798725,0.3597905105831871,-0.06869825844699418,-0.0662282320571761,0.06553182269837377,0.2367485816582583,-0.18220864854754168,-0.03869304577101636,0.151944738488185,0.00012155301193100132,-0.058459798933239,-0.18033002047995966,-0.1775485630988498,-0.0863958683247253,0.15988016282152004,0.010091010591473768,0,0,0,0,0,0,0,0,0,0,1,-0.989805019733788,0.3732153186709679,0.2613970270252939,-0.5801683775783247,-0.8913005300312119,-0.9772945373118442,-0.9485861589938718,-0.334661634677913,-1.0,1.0,-0.624869121014672,-0.23968837081867667,1.0,-0.9513692491350179,-0.7736393354063299,-1.0,-0.14913375392595074,0.6460708399425465,-0.46794386593579596,-0.33926581671933687
2017-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32848021448179654,0.43000319127832387,-0.16021390374331523,0.6773568741386394,-0.26724593281217013,0.43796533344525257,-0.08247629491928943,0.05996440189038188,0.10591561276441364,0.15527872833187095,-0.04158746794883554,0.2295661436420674,0.4501767561452619,0.2473129953229607,0.22160363232013275,0.14999249104046297,0.11356927074795137,0.19330925186097528,0.013599740236565348,0.33200914704902384,0,0,0,0,0,0,0,0,0,0,1,-0.9920512337445363,0.3870279331531479,0.28045158498441247,-0.5772579183075717,-0.8905885816956886,-0.9774101642788231,-0.9495220558899242,-0.3161042153518677,-1.0,1.0,-0.6362654148273262,-0.24801110014087224,1.0,-0.9576463415900279,-0.7757720695100806,-1.0,-0.15508769197445438,0.6710628543623525,-0.4573674805814377,-0.3591788367208745
2017-12-18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30834213969404234,0.2967797940003015,-0.18378607809847147,0.34949480264592514,-0.17521379732625775,0.47179426497850485,-0.13209130580731832,0.0023485092330984836,0.05184081808241092,0.11364449447222069,-0.2695088901154683,0.09981974082377883,-0.007723663978048814,-0.0008964426286612434,0.07643656807747005,0.131244147194973,-0.14115539781349773,0.008037323482877494,-0.02728003320207559,0.0215354797430651,0,0,0,0,0,0,0,0,0,0,1,-0.9929941497265041,0.3742219855031801,0.27085406555479175,-0.5864291969960729,-0.8896574976932533,-0.975602760094211,-0.9513738818760575,-0.32810767620871717,-1.0,1.0,-0.6333766812386992,-0.2655552039178245,1.0,-0.9853434470348675,-0.778486442664013,-1.0,-0.15001289395058326,0.6524674038971789,-0.4367119447864143,-0.3682260988022672
2017-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.007890109017112845,0.44622935015994236,-0.04660386712939979,0.15278342137342493,0.019398911239259964,0.3446083553225797,-0.16828567716978715,0.20423947293039246,0.027171334572577477,0.017113357296215326,-0.06785115704750404,0.05298247014825269,-0.13199771019672255,0.03882752539628317,-0.08763442913975757,0.07595298943238597,-0.24877716517863252,-0.01989878530815352,-0.11189266217903383,-0.05840204379313176,0,0,0,0,0,0,0,0,0,0,1,-0.997181572832329,0.37908813288184895,0.25689967136803715,-0.5887822360676438,-0.8904081385567577,-0.9769857155696716,-0.9520263221250429,-0.34169242411009826,-1.0,1.0,-0.6541234627872217,-0.2496358749726202,1.0,-0.9843241191064039,-0.7732988990944551,-1.0,-0.13691794703007543,0.6365456099450277,-0.4199634544967057,-0.3580587655646542
2017-12-20,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-0.08616246256622895,0.33332718349876533,-0.19813391877058129,-0.05244108737558473,-0.14000977361453582,0.372181790421906,-0.3003036290905594,0.1386582648557354,-0.012499005782948158,-0.33549400903555227,-0.1514026806451152,0.22637334680245697,-0.09667131403914253,0.12856692244155976,-0.13814487918954949,-0.07189097040350544,-0.18700757755364047,-0.1269196041444719,-0.15157516802707172,-0.11581634277971593,0,0,0,0,0,0,0,0,0,0,1,-0.9977798839875984,0.38371917476427564,0.25973640862622815,-0.589231188203464,-0.8901778242651018,-0.9750243848226956,-0.9504971468374838,-0.34311259975440334,-1.0,1.0,-0.6669587184987373,-0.25272623341509015,1.0,-0.9932279291124251,-0.7805708252495692,-1.0,-0.13042113949529854,0.6264970416135187,-0.42768091507093264,-0.3654745708744416
2017-12-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.03267506045916413,0.6238754940209689,-0.1425287356321836,-0.08830765736780366,-0.1627742883870107,0.7060116255838984,-0.18091661688145444,0.21458240410347917,0.10966811262491649,-0.3408292501217791,-0.15627565165839594,0.33799811833216503,-0.19379004068254654,0.21850781343232928,-0.0706608531984135,0.04834477526047477,-0.01568562965736484,-0.2656070691265042,-0.3086304281923012,0.01595298423443694,0,0,0,0,0,0,0,0,0,0,1,-0.9969585310520901,0.4211502983873192,0.2739455722532671,-0.5876642931264431,-0.8947749047212832,-0.9741250531275326,-0.9504799429274853,-0.32905314442659084,-1.0,1.0,-0.6567787757867871,-0.2358502669799485,1.0,-1.0,-0.802290342923201,-0.997549871473872,-0.12978062183607186,0.6460090663954561,-0.42133748057454223,-0.3815356967135106
2017-12-22,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1449096160017116,0.5635362940911753,0.2715231788079462,-0.1819938335046265,0.015223362121293937,0.5964400350160529,-0.15877495924127372,0.5029796041567849,0.0,-0.26884741539322077,-0.10266044114755267,-0.07911474915886824,-0.30627336383150927,-0.07305644666772226,-0.17695843238226802,-0.17019519327905744,-0.1261382001077442,-0.27608011786330944,-0.43671773328186647,-0.23340430657418815,0,0,0,0,0,0,0,0,0,0,1,-0.9963030055046025,0.41842363660834714,0.27779353195515233,-0.5868415094106259,-0.89350280666296,-0.9747460629523902,-0.951525932146273,-0.335693695431762,-1.0,1.0,-0.6532065640098719,-0.24054815511756322,1.0,-0.9984248263378741,-0.7981615486359592,-1.0,-0.14284803565425108,0.6211360982893304,-0.4241768779338063,-0.38320874817464123
2017-12-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03946978301426296,0.4311140187542991,0.28967254408060383,-0.03816549069916575,0.08452268597880053,0.6456115685880739,0.014037834786883807,0.3288334857015912,0.12478462687900116,-0.1695830074400626,-0.4425890281325977,-0.1477256154712018,-0.5726891872537403,-0.31290306245967137,-0.5478901844517089,-0.3221448643608845,-0.34368460290088404,-0.2856437200735785,-0.34592661061290203,-0.433798740258434,0,0,0,0,0,0,0,0,0,0,1,-0.9972575069513472,0.4041098390724722,0.26825535861173155,-0.5876568064255709,-0.8967606341168421,-0.9763548554015703,-0.9531704957908373,-0.35239531564960946,-1.0,1.0,-0.6421361047139105,-0.24821388024829216,1.0,-0.9999870494002175,-0.8029881363325659,-1.0,-0.13227734733432495,0.5902935754641603,-0.3981617550155434,-0.38002016162963315
2017-12-27,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.1130300573404579,0.4183866846171652,0.09808102345415759,0.019684062525844093,0.0777898296433357,0.6146736559987409,0.08362111048834708,0.24048774980241583,0.31974837225241093,-0.14606940846354943,-0.19874169108074055,-0.1426534126042819,-0.3986341057678208,-0.10711740850657582,-0.24019004101103753,-0.2864691350494899,-0.1481946998374267,-0.11817274493426466,-0.060165548858577285,-0.3354637562831219,0,0,0,0,0,0,0,0,0,0,1,-1.0,0.4026195124510361,0.27122878565628494,-0.5887318484308033,-0.8982844869538359,-0.9774614077739767,-0.9528764324567641,-0.35599035409836344,-0.9993685157420945,1.0,-0.6620782565578753,-0.248059028872756,1.0,-0.9957026889454064,-0.8046905091506954,-1.0,-0.13081787016276758,0.5764392649020558,-0.3917615686993444,-0.37774243120913464
2017-12-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10503020866993684,0.41451076869955483,0.05263157894736803,0.055010762975364225,-0.02083509901969105,0.5591554217818234,0.003423680456490219,0.18282312925170097,0.30816701974851934,-0.2906124057876456,-0.3627385741160542,-0.305736911353049,-0.5102534427521649,-0.32474075720715606,-0.09516426979613841,-0.2798360892493025,-0.08971611631243885,-0.2825452195216379,-0.3132613413982821,-0.2411344245887277,0,0,0,0,0,0,0,0,0,0,1,-1.0,0.40815201046758265,0.2755055156012065,-0.5846429609911924,-0.8979631158952427,-0.9769630173352694,-0.9534280238074111,-0.3538294352367558,-0.9988861470198517,1.0,-0.6644631817567697,-0.24792101903359198,1.0,-0.9937331730219755,-0.8063006888705755,-1.0,-0.139370270518559,0.5759378973094986,-0.38958272192947463,-0.3822184567837429
2017-12-29,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.03133004926108374,0.2428807101614362,0.09748978400467057,-0.0690959092471648,-0.17294561933534758,0.37738878569404877,-0.17029516826471114,0.09642429764950011,0.1205999507686798,-0.1979899806374268,-0.1361194047298396,-0.13895699483462298,-0.2410356855269578,-0.20034982796363285,-0.1843895904408934,-0.19986997990359529,-0.026563159274782096,-0.24919226635627245,-0.1882581959574597,-0.15943289736849364,0,0,0,0,0,0,0,0,0,0,1,-0.9999013187242826,0.4056267826495823,0.2750932872039622,-0.5866180056282853,-0.8986485326111637,-0.978818712104141,-0.9541199437540551,-0.35369586561134103,-1.0,1.0,-0.656764004006249,-0.2450870713354708,1.0,-0.9882941809816643,-0.8015984615539108,-1.0,-0.1403479859809047,0.5786200058057875,-0.3947680915247437,-0.3766999327445739
