date,AAP,ACN,ADBE,AFL,ALB,ALK,AOS,ATVI,AYI,MMM
2008-08-27,40.7121,31.2589,44.15,20.8786,32.7214,4.2508,5.7838,14.7708,39.5103,51.3569
2008-08-28,41.7414,31.8049,44.31,21.3278,33.5942,4.7119,5.8316,14.95,40.6415,52.6495
2008-08-29,41.4047,31.8049,42.83,21.0493,32.7214,4.7254,5.7894,14.708,40.0161,51.9959
2008-09-02,42.3379,32.2663,42.85,21.3463,32.1944,4.9391,5.7922,14.6991,39.8046,51.6473
2008-09-03,42.4244,30.7514,43.14,21.5134,31.6757,5.0043,5.9554,14.9635,39.6666,51.4368
2008-09-04,41.2797,29.9439,42.19,20.9565,30.6217,4.8738,5.743,14.7573,37.6249,50.6452
2008-09-05,40.5293,29.9593,40.91,21.4132,30.4735,5.0943,5.6854,15.1203,38.9216,50.2458
2008-09-08,41.5394,30.5207,41.61,21.402,30.7452,5.2922,5.9708,15.0486,40.1632,51.6909
2008-09-09,40.6063,29.4826,40.79,20.8229,28.0528,5.2292,5.7515,14.8963,37.5145,50.4346
2008-09-10,41.3085,29.398,40.73,21.1607,28.308,5.074,5.8907,15.5864,38.7285,49.8754
2008-09-11,40.8468,28.1676,41.05,21.5728,29.2796,5.3462,5.9694,15.936,38.5262,50.7904
2008-09-12,40.1349,28.3368,40.47,21.7547,29.7671,5.2157,6.2155,15.694,39.0504,50.9429
2008-09-15,38.7303,27.8523,38.08,21.0568,28.4947,4.9908,5.9146,15.0486,37.0914,50.0207
2008-09-16,38.3359,28.2137,38.14,21.6842,29.6679,5.2989,6.0257,14.8515,37.4409,50.6379
2008-09-17,36.8448,27.1218,36.23,20.9602,27.5446,4.9706,5.7683,13.9193,35.7763,49.9989
2008-09-18,36.8833,27.6063,39.65,23.8522,27.1811,5.1078,6.6093,14.3675,37.8272,51.1971
2008-09-19,37.6445,29.8132,40.94,23.6035,29.8662,4.8986,6.2718,15.5237,41.4968,52.7802
2008-09-22,37.3169,28.506,39.23,22.4341,28.47,4.5635,5.826,14.5198,38.9768,51.3423
2008-09-23,37.6445,28.6444,38.85,22.59,28.1643,4.5162,5.6896,14.2958,37.3766,50.1078
2008-09-24,38.0974,28.1292,39.45,22.8684,28.7591,4.505,5.6207,14.4392,37.2938,49.7955
2008-09-25,38.1552,28.5829,39.83,22.4229,29.0813,4.5882,5.684,14.4481,38.517,50.6379
2008-09-26,38.6659,30.413,39.99,22.2299,28.3378,4.6017,5.6882,14.6812,38.5354,50.4346
2008-09-29,37.4133,29.2211,36.15,19.0261,24.7191,4.2688,5.3197,12.6556,36.3281,48.1616
2008-09-30,38.213,29.2211,39.47,21.8104,25.4792,4.586,5.511,13.8297,38.4066,49.6067
2008-10-01,38.5213,28.4983,38.12,21.5394,24.7852,4.7614,5.4112,12.9961,37.5605,48.9386
2008-10-02,37.4711,28.0676,35.22,19.9987,23.3477,4.4825,4.9485,11.5173,34.1208,47.6387
2008-10-03,35.4092,27.0603,33.69,19.3491,23.2238,4.2913,4.7741,11.2394,33.6242,46.9125
2008-10-06,33.116,26.1452,30.71,18.2465,21.8358,4.0912,4.6194,10.8988,33.8541,45.7506
2008-10-07,27.5565,24.5457,28.69,17.3369,19.7869,3.6098,4.4268,10.621,31.9227,43.5502
2008-10-08,28.3273,25.3762,30.0,17.8047,20.6874,3.4861,4.2834,10.7106,30.8467,41.6621
2008-10-09,26.9495,23.8378,27.99,14.7383,19.3325,3.2207,4.1793,10.3521,29.0809,38.8517
2008-10-10,25.986,22.9179,27.12,14.664,18.5972,4.2284,4.4212,10.3611,31.6008,39.4036
2008-10-13,27.2482,26.6688,30.38,16.3346,21.3318,4.9706,4.9119,12.7721,34.0197,43.296
2008-10-14,26.8146,26.1692,29.2,17.1031,21.0509,4.6534,4.739,11.6607,32.8608,43.1145
2008-10-15,24.454,24.7101,25.94,15.4844,18.812,4.46,4.3804,10.4686,28.7866,39.7086
2008-10-16,25.4272,24.4722,27.69,15.7072,20.0017,5.3687,4.5351,11.1856,31.7234,41.5895
2008-10-17,26.5737,24.9004,28.18,16.0153,19.3903,4.9841,4.3255,11.6696,31.0215,41.023
2008-10-20,28.6935,25.2652,29.31,16.4497,20.423,5.2135,4.5252,12.1447,33.4135,41.7638
2008-10-21,27.9419,24.6546,27.59,15.9522,19.2085,5.3417,4.289,11.6517,31.9728,43.6011
2008-10-22,27.1229,23.7585,25.4,13.825,18.0932,5.2854,4.2524,11.0333,29.3869,42.2576
2008-10-23,26.2365,23.3223,24.97,13.4797,17.8867,5.0898,4.0626,11.2484,30.1903,44.6904
2008-10-24,24.9647,22.8941,23.89,14.4301,17.2836,4.9301,3.877,10.4776,29.5162,43.2888
2008-10-27,23.2882,21.8394,23.68,13.4426,15.7469,4.5117,3.756,9.411,29.5162,43.8407
2008-10-28,25.485,23.925,27.075,15.4696,17.0935,4.9458,4.0766,10.5762,31.6865,46.7019
2008-10-29,24.5696,24.4088,26.8,15.0538,18.0932,4.8604,4.1413,10.7554,30.5598,45.3875
2008-10-30,26.0823,25.4397,26.86,16.0227,19.4812,5.3529,4.2489,11.3918,31.7234,45.4238
2008-10-31,30.0617,26.2089,26.64,16.4385,20.1173,5.5553,4.4654,11.1677,32.2868,46.6947
2008-11-03,28.9825,25.5269,27.16,16.29,20.5883,5.9737,4.5093,10.6568,31.8989,46.5567
2008-11-04,30.2736,26.2168,29.16,18.0126,21.5879,5.9197,4.6282,10.6299,32.7762,47.646
2008-11-05,28.2503,24.8766,27.22,16.8803,20.1752,5.7173,4.4187,9.8412,31.7881,46.8544
2008-11-06,27.0459,23.3382,24.56,16.4534,19.7621,5.688,4.3267,10.7644,30.8368,45.2858
2008-11-07,27.5662,24.1946,24.59,17.1847,20.4395,5.6655,4.3338,10.9885,30.375,47.0795
2008-11-10,26.5545,23.8061,24.93,17.181,20.2247,5.5104,4.5178,10.9795,29.7655,47.1667
2008-11-11,25.6488,23.4413,23.64,16.3828,19.5142,5.6116,4.3777,10.9436,28.9343,45.3004
2008-11-12,23.9723,22.2756,21.89,15.0575,17.9115,5.2337,4.1399,10.0205,26.136,43.1653
2008-11-13,27.5565,23.2906,24.3,16.4979,20.1256,5.688,4.5107,11.2663,27.6506,46.7891
2008-11-14,25.0899,22.7355,22.34,15.5067,18.6715,5.4946,4.1456,9.5096,26.5978,45.7942
2008-11-17,24.8683,21.8473,22.8,14.4487,18.6054,5.6341,4.1498,9.3841,25.859,44.153
2008-11-18,25.5813,22.6404,22.64,14.7998,17.3827,5.7015,4.164,9.0614,26.4131,45.1479
2008-11-19,25.6873,21.4112,21.63,13.414,15.5982,4.6827,3.7889,8.3982,24.3167,43.0419
2008-11-20,24.8394,21.1812,20.75,11.3483,13.5988,4.9503,3.4577,8.3713,23.2269,41.5918
2008-11-21,25.6006,22.6086,21.38,12.5922,15.1107,4.2486,3.6941,9.2317,23.6148,44.8948
2008-11-24,27.1422,23.7823,21.73,14.6242,15.8791,5.056,3.963,9.8591,24.0673,46.3303
2008-11-25,28.1154,23.3461,22.42,15.9018,15.1851,5.2652,4.2277,9.7695,25.1294,46.6086
2008-11-26,30.0135,24.2502,23.35,16.6862,16.3087,5.0695,4.447,10.7734,25.5173,48.2711
2008-11-28,29.2523,24.5674,23.16,17.2951,16.7961,5.1617,4.6339,10.4865,24.8985,49.0181
2008-12-01,27.1326,23.0448,21.0,15.4348,14.4167,4.7614,4.0861,9.4379,23.3008,45.6638
2008-12-02,28.8765,23.8061,22.0,15.9839,15.2925,5.245,4.3381,9.6261,24.6768,44.5725
2008-12-03,28.337,24.4801,22.54,16.2865,15.846,5.5688,4.5079,9.6799,25.1663,44.4627
2008-12-04,28.2214,23.1003,20.44,15.6029,14.772,5.4856,4.3522,8.9629,23.8457,43.3129
2008-12-05,30.5627,22.4183,21.66,16.5704,15.2099,6.1064,4.5461,9.2855,25.9421,43.8328
2008-12-08,31.083,22.4738,22.6,16.4882,16.6887,6.0501,4.5022,9.895,28.3248,42.0239
2008-12-09,31.0155,22.9972,22.89,16.2716,16.5235,5.8387,4.3494,9.0435,29.0267,41.123
2008-12-10,31.5455,22.5769,23.44,16.167,17.3249,5.7308,4.0111,8.936,29.5439,42.1264
2008-12-11,31.0155,21.8553,22.19,15.7337,16.1517,5.5778,3.8597,8.6043,28.1863,40.3833
2008-12-12,31.2853,22.6721,22.43,15.4797,16.8583,5.9557,4.0479,8.3623,30.9384,41.0425
2008-12-15,30.0809,23.0289,21.36,15.3377,15.7444,5.7353,3.9757,8.2458,29.5808,40.7422
2008-12-16,31.6418,23.3937,22.32,17.2391,16.3678,6.0974,4.2461,8.5685,30.6429,42.7123
2008-12-17,31.8345,23.9805,21.69,17.3773,16.0769,6.1334,4.3069,8.7119,31.5479,42.9027
2008-12-18,32.509,24.1153,21.38,16.6974,15.2539,6.2098,4.0352,8.2727,31.4186,41.5332
2008-12-19,31.4202,25.5428,22.13,16.9402,16.027,6.2953,3.946,8.5147,31.5018,41.4673
2008-12-22,30.0713,25.3762,21.11,16.492,16.318,6.5225,3.9658,8.1024,31.6311,41.2842
2008-12-23,29.8015,25.1304,20.97,16.3874,16.1683,6.3268,3.8795,8.0397,30.9384,40.6031
2008-12-24,30.2939,24.8608,21.13,16.4733,16.0021,6.4122,3.9007,8.0755,30.7352,40.647
2008-12-26,30.4097,25.0352,21.08,16.3948,16.3761,6.4235,3.963,7.9411,31.4648,40.8228
2008-12-29,30.4676,25.2573,20.52,16.1558,16.1018,6.41,3.8823,7.6632,30.6244,40.5518
